brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
maruti,alto,9,120000,individual,petrol,manual,19.7,796,46.3,5,120100.0
hyundai,grand,5,20000,individual,petrol,manual,18.9,1197,82.0,5,550000.0
hyundai,i20,11,60000,individual,petrol,manual,17.0,1197,80.0,5,215000.0
maruti,alto,9,37000,individual,petrol,manual,20.92,998,67.1,5,226000.0
ford,ecosport,6,30000,dealer,diesel,manual,22.77,1498,98.59,5,570000.0
maruti,wagon r,8,35000,individual,petrol,manual,18.9,998,67.1,5,350000.0
hyundai,i10,8,40000,dealer,petrol,manual,20.36,1197,78.9,5,315000.0
maruti,wagon r,3,17512,dealer,petrol,manual,20.51,998,67.04,5,410000.0
hyundai,venue,2,20000,individual,petrol,automatic,18.15,998,118.35,5,1050000.0
maruti,swift,4,28321,dealer,petrol,manual,16.6,1197,85.0,5,511000.0
hyundai,verna,8,65278,dealer,diesel,manual,22.32,1582,126.32,5,425000.0
renault,duster,5,50000,individual,diesel,manual,19.64,1461,108.45,5,750000.0
mini,cooper,4,6000,dealer,petrol,automatic,14.41,1998,189.08,5,3250000.0
maruti,ciaz,5,76000,dealer,diesel,manual,28.09,1248,88.5,5,650000.0
maruti,swift,5,20000,individual,diesel,manual,25.2,1248,74.0,5,627000.0
mercedes-benz,c-class,7,65000,dealer,diesel,automatic,19.27,2143,170.0,5,1425000.0
maruti,swift,7,62200,dealer,diesel,manual,28.4,1248,74.0,5,425000.0
toyota,innova,8,110000,individual,diesel,manual,12.99,2494,100.6,8,605000.0
maruti,baleno,6,20000,individual,petrol,manual,21.4,1197,83.1,5,600000.0
maruti,swift dzire,5,40000,individual,petrol,manual,20.85,1197,83.14,5,575000.0
volkswagen,vento,8,47000,dealer,petrol,manual,16.09,1598,103.2,5,425000.0
maruti,alto,8,25000,dealer,petrol,manual,20.92,998,67.1,5,230000.0
hyundai,creta,2,15000,individual,diesel,manual,19.67,1582,126.2,5,1225000.0
honda,city,6,50000,individual,petrol,manual,17.4,1497,117.3,5,750000.0
mahindra,bolero,10,25000,individual,diesel,manual,13.6,2523,63.0,7,350000.0
maruti,swift dzire,6,90000,individual,diesel,manual,26.59,1248,74.0,5,600000.0
maruti,swift dzire,8,45000,dealer,diesel,manual,26.59,1248,74.0,5,390000.0
honda,city,14,77253,dealer,petrol,manual,17.7,1497,78.0,5,145000.0
hyundai,i20,3,25000,individual,petrol,manual,17.19,1197,81.86,5,700000.0
toyota,fortuner,8,110000,individual,diesel,manual,13.0,2982,168.5,7,1150000.0
renault,kwid,4,30000,individual,petrol,manual,23.01,999,67.0,5,340000.0
honda,amaze,5,39993,dealer,petrol,manual,18.6,1199,88.76,5,465000.0
hyundai,santro,12,80000,individual,petrol,manual,17.92,1086,62.1,5,125000.0
mahindra,xuv500,9,185000,individual,diesel,manual,15.1,2179,140.0,7,600000.0
maruti,swift dzire,8,90000,individual,diesel,manual,23.4,1248,74.0,5,380000.0
hyundai,i20,3,15000,individual,diesel,manual,22.54,1396,88.73,5,850000.0
hyundai,i20,3,40000,individual,petrol,manual,18.6,1197,81.83,5,598000.0
honda,city,6,31180,dealer,petrol,automatic,18.0,1497,117.3,5,700000.0
maruti,swift dzire,7,56000,dealer,diesel,manual,23.4,1248,74.0,5,410000.0
maruti,baleno,5,52427,dealer,petrol,automatic,21.4,1197,83.1,5,590000.0
mahindra,bolero,1,40000,individual,diesel,manual,21.0,1498,74.96,7,850000.0
mahindra,kuv100,3,17000,individual,petrol,manual,18.15,1198,82.0,5,550000.0
maruti,baleno,5,22000,dealer,petrol,manual,15.4,1590,94.0,5,625000.0
maruti,swift dzire,5,54000,individual,petrol,manual,20.85,1197,83.14,5,600000.0
maruti,wagon r,2,10000,individual,petrol,manual,20.51,998,67.04,5,445000.0
maruti,ignis,2,20000,individual,petrol,manual,20.89,1197,81.8,5,530000.0
maruti,wagon r,3,53237,trustmark dealer,cng,manual,26.6,998,58.16,5,410000.0
