vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,km_per_year,power_per_cc,brand_popularity,model_rarity,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,transmission_type_manual,seller_type_individual,seller_type_trustmark dealer,mileage_bucket_medium,mileage_bucket_high,mileage_bucket_very_high
9,120000,19.7,796,46.3,5,120100.0,12000.0,0.05816582914572864,0.32325688374843925,0.049878425445225735,False,False,False,True,True,True,False,True,False,False
5,20000,18.9,1197,82.0,5,550000.0,3333.3333333333335,0.06850459482038429,0.1939278438588421,0.03739239009003088,False,False,False,True,True,True,False,True,False,False
11,60000,17.0,1197,80.0,5,215000.0,5000.0,0.06683375104427736,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
9,37000,20.92,998,67.1,5,226000.0,3700.0,0.06723446893787574,0.32325688374843925,0.049878425445225735,False,False,False,True,True,True,False,False,True,False
6,30000,22.77,1498,98.59,5,570000.0,4285.714285714285,0.06581441922563418,0.05099559702963791,0.024380626930406782,True,False,False,False,True,False,False,False,True,False
8,35000,18.9,998,67.1,5,350000.0,3888.8888888888887,0.06723446893787574,0.32325688374843925,0.046264046789774596,False,False,False,True,True,True,False,True,False,False
8,40000,20.36,1197,78.9,5,315000.0,4444.444444444444,0.06591478696741855,0.1939278438588421,0.02668068607478478,False,False,False,True,True,False,False,False,True,False
3,17512,20.51,998,67.04,5,410000.0,4378.0,0.06717434869739479,0.32325688374843925,0.046264046789774596,False,False,False,True,True,False,False,False,True,False
2,20000,18.15,998,118.35,5,1050000.0,6666.666666666667,0.1185871743486974,0.1939278438588421,0.0037458106065584545,False,False,False,True,False,True,False,True,False,False
4,28321,16.6,1197,85.0,5,511000.0,5664.2,0.07101086048454469,0.32325688374843925,0.05086416507853059,False,False,False,True,True,False,False,True,False,False
8,65278,22.32,1582,126.32,5,425000.0,7253.111111111111,0.07984829329962073,0.1939278438588421,0.032069396070184664,True,False,False,False,True,False,False,False,True,False
5,50000,19.64,1461,108.45,5,750000.0,8333.333333333334,0.0742299794661191,0.03463231911677729,0.014194650719589932,True,False,False,False,True,True,False,True,False,False
4,6000,14.41,1998,189.08,5,3250000.0,1200.0,0.09463463463463465,0.0011171715844121707,0.0011171715844121707,False,False,False,True,False,False,False,False,False,False
5,76000,28.09,1248,88.5,5,650000.0,12666.666666666666,0.07091346153846154,0.32325688374843925,0.022540579614904382,True,False,False,False,True,False,False,False,False,True
5,20000,25.2,1248,74.0,5,627000.0,3333.3333333333335,0.05929487179487179,0.32325688374843925,0.05086416507853059,True,False,False,False,True,True,False,False,False,True
7,65000,19.27,2143,170.0,5,1425000.0,8125.0,0.07932804479701354,0.021357692054938555,0.007623053164224223,True,False,False,False,False,False,False,True,False,False
7,62200,28.4,1248,74.0,5,425000.0,7775.0,0.05929487179487179,0.32325688374843925,0.05086416507853059,True,False,False,False,True,False,False,False,False,True
8,110000,12.99,2494,100.6,8,605000.0,12222.222222222223,0.04033680834001604,0.05184990471183545,0.03574949070118946,True,False,False,False,True,True,False,False,False,False
6,20000,21.4,1197,83.1,5,600000.0,2857.1428571428573,0.06942355889724311,0.32325688374843925,0.02378918315042387,False,False,False,True,True,True,False,False,True,False
5,40000,20.85,1197,83.14,5,575000.0,6666.666666666667,0.06945697577276524,0.32325688374843925,0.05750147860944996,False,False,False,True,True,True,False,False,True,False
8,47000,16.09,1598,103.2,5,425000.0,5222.222222222223,0.06458072590738423,0.040349608989945454,0.016100414010645988,False,False,False,True,True,False,False,True,False,False
8,25000,20.92,998,67.1,5,230000.0,2777.777777777778,0.06723446893787574,0.32325688374843925,0.049878425445225735,False,False,False,True,True,False,False,False,True,False
2,15000,19.67,1582,126.2,5,1225000.0,5000.0,0.0797724399494311,0.1939278438588421,0.022014851810475126,True,False,False,False,True,True,False,True,False,False
6,50000,17.4,1497,117.3,5,750000.0,7142.857142857143,0.0783567134268537,0.09699677991719786,0.04928698166524282,False,False,False,True,True,True,False,True,False,False
10,25000,13.6,2523,63.0,7,350000.0,2272.7272727272725,0.02497027348394768,0.06565025957810344,0.013603206939607019,True,False,False,False,True,True,False,False,False,False
6,90000,26.59,1248,74.0,5,600000.0,12857.142857142857,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,True,False,False,False,True
8,45000,26.59,1248,74.0,5,390000.0,5000.0,0.05929487179487179,0.32325688374843925,0.05750147860944996,True,False,False,False,True,False,False,False,False,True
14,77253,17.7,1497,78.0,5,145000.0,5150.2,0.052104208416833664,0.09699677991719786,0.04928698166524282,False,False,False,True,True,False,False,True,False,False
3,25000,17.19,1197,81.86,5,700000.0,6250.0,0.0683876357560568,0.1939278438588421,0.05901294604718407,False,False,False,True,True,True,False,True,False,False
8,110000,13.0,2982,168.5,7,1150000.0,12222.222222222223,0.05650570087189805,0.05184990471183545,0.012288887428533877,True,False,False,False,True,True,False,False,False,False
